Volcano_Name,Country,Latitude,Longitude,Volcano_Type,Last_Eruption
Karthala,Comoros,-11.75,43.38,Shield volcano,1883
Krakatau,Indonesia,-6.102,105.423,Caldera,1883
Augustine,United States,59.363,-153.43,Lava dome,1883
Krakatau,Indonesia,-6.102,105.423,Caldera,1883
Bagana,Papua New Guinea,-6.137,155.196,Lava cone,1883
Krakatau,Indonesia,-6.102,105.423,Caldera,1884
Semeru,Indonesia,-8.108,112.922,Stratovolcano,1885
Purace,Colombia,2.32,-76.4,Stratovolcano,1885
Tungurahua,Ecuador,-1.467,-78.442,Stratovolcano,1886
Okataina,New Zealand,-38.12,176.5,Lava dome,1886
Niuafo'ou,Tonga,-15.6,-175.63,Shield volcano,1886
Mayon,Philippines,13.257,123.685,Stratovolcano,1887
Ritter Island,Papua New Guinea,-5.519,148.115,Stratovolcano,1888
Bandaisan,Japan,37.601,140.072,Stratovolcano,1888
Banua Wuhu,Indonesia,3.138,125.491,Submarine volcano,1889
Kie Besi,Indonesia,0.32,127.4,Stratovolcano,1890
Victory,Papua New Guinea,-9.2,149.07,Stratovolcano,1890
Sorikmarapi,Indonesia,0.686,99.539,Stratovolcano,1892
Awu,Indonesia,3.689,125.447,Stratovolcano,1892
Tofua,Tonga,-19.75,-175.07,Caldera,1892
Calbuco,Chile,-41.33,-72.618,Stratovolcano,1893
Azumayama,Japan,37.735,140.244,Stratovolcano,1893
Ambrym,Vanuatu,-16.25,168.12,Pyroclastic shield,1894
Semeru,Indonesia,-8.108,112.922,Stratovolcano,1895
Karkar,Papua New Guinea,-4.647,145.976,Stratovolcano,1895
Kirishimayama,Japan,31.934,130.862,Shield volcano,1895
Dakataua,Papua New Guinea,-5.094,150.094,Caldera,1895
Kirishimayama,Japan,31.934,130.862,Shield volcano,1896
Tinakula,Solomon Is.,-10.386,165.804,Stratovolcano,1897
Mayon,Philippines,13.257,123.685,Stratovolcano,1897
Dona Juana,Colombia,1.5,-76.936,Stratovolcano,1899
Manam,Papua New Guinea,-4.08,145.037,Stratovolcano,1899
Asamayama,Japan,36.406,138.523,Complex volcano,1900
